제목,브랜드,방,가격
코잠,7호점 2인실A,#여성전용 #셰어하우스,76 / 38만원 (2인실)
잇츠하우스,합정점 2인실 A,#여성전용 #셰어하우스,100 / 45만원 (2인실)
우주,56호점 Room D,#여성전용 #셰어하우스,90 / 37만원 (2인실)
쉐어하우스 비비,마포 공덕점 Room E,#여성전용 #셰어하우스,76 / 38만원 (2인실)
마주공간 쉐어하우스,고려대(안암)점 2인실 C,#여성전용 #셰어하우스,100 / 35만원 (2인실)
캑터스 하우스,망원2호점 Double,#여성전용 #셰어하우스,35 / 35만원 (2인실)
응답하라2018,합정망원 남성하우스 Room B,#남성전용 #셰어하우스,94 / 47만원 (1인실)
응답하라2018,합정망원 여성하우스 여자1인실,#여성전용 #셰어하우스,94 / 47만원 (1인실)
바운드쉐어,망원중앙점 2인실A,#여성전용 #셰어하우스,100 / 44만원 (2인실)
잠자리,마포구청 : 8호점 Room A,#여성전용 #셰어하우스,86 / 43만원 (1인실)
마주봄 쉐어하우스,합정4호점 D룸,#여성전용 #셰어하우스,100 / 50만원 (1인실)
드리밍 셰어하우스,마포구청점 1인실 A ROOM(작은방),#남성전용 #셰어하우스,40 / 35만원 (1인실)
일가 쉐어하우스,망원일가 Room 103,#여성전용 #셰어하우스,100 / 35만원 (2인실)
MR. HOMES,홈즈스튜디오 원효로점 201호,#여성전용 #셰어하우스,60 / 60만원 (1인실)
쉐어하우스 F,합정점 Room C,#여성전용 #셰어하우스,50 / 36만원 (2인실)
홈스케치,합정3호점 Room D,#성별무관 #셰어하우스,70 / 35만원 (1인실)
쉐어하우스 소망,합정점 룸C,#여성전용 #셰어하우스,80 / 35만원 (2인실)
